Country,Subject_Descriptor,Units,Scale,CountrySeries-specific_Notes,2006,Estimates_Start_After
Lesotho,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2008 Notes: Revised national accounts were released in November 2008 where GDP was rebased from 1981 to 2007. GDP valuation: Market prices Base year: 2004 Chain-weighted: No Primary domestic currency: Loti Data last updated: 04/2012,8.64,2008
Lesotho,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.42,2008
Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",794.11,2006
Liberia,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank of Liberia Latest actual data: 2011 Notes: Real GDP are in billions of U.S. dollars National accounts manual used: SNA 1993. National accounts data for LBR are staff estimates, LBR has not yet produced national accounts yet. GDP valuation: Market prices. Offical data reported in billions of U.S. dollars. Start/end months of reporting year: January/December Base year: 1992 Chain-weighted: No Primary domestic currency: U.S. dollars Data last updated: 03/2012",0.43,2011
Liberia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.78,2011
Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",191.50,2009
Libya,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Planning . Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices. Compiled using the 1968 System of National Accounts (SNA) methodology. Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Libyan dinars Data last updated: 03/2012,41.70,2009
Libya,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.72,2009
Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9112.65,2008
Lithuania,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2011 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005 Primary domestic currency: Lithuanian litai Data last updated: 03/2012",78.06,2011
Lithuania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.81,2011
Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8909.56,2011
Luxembourg,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1995 Primary domestic currency: Euros Data last updated: 03/2012",31.79,2011
Luxembourg,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.97,2011
Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",90198.74,2011
Former Yugoslav Republic of Macedonia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1997 Chain-weighted: No Primary domestic currency: Macedonia denars Data last updated: 03/2012,238.08,2011
Former Yugoslav Republic of Macedonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.00,2011
Former Yugoslav Republic of Macedonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3219.18,2010
Madagascar,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 GDP valuation: Market prices Base year: 2000 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 03/2012,6184.97,2010
Madagascar,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.02,2010
Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",287.87,2006
Malawi,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: SNA 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Malawi kwacha Data last updated: 02/2012,466.28,2009
Malawi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.06,2009
Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",221.97,2009
Malaysia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: GDP was rebased by the National Statistical Office, new base year is 2000. The official series starts in 2000. Data prior to that is spliced based on the old series. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 03/2012",475.53,2011
Malaysia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.85,2011
Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5838.53,2010
Maldives,"Gross domestic product, constant prices",National currency,Billions,Source: Department of National Planning. Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices. Production-based measure. Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Maldivian rufiyaa Data last updated: 03/2012,14.94,2009
Maldives,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",19.59,2009
Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4359.58,2006
Mali,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance Latest actual data: 2011 Notes: National accounts have new methodology starting in 1990. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1987 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,1417.81,2011
Mali,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.25,2011
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",450.85,2010
Malta,"Gross domestic product, constant prices",National currency,Billions,"Source: Eurostat Latest actual data: 2010 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 03/2012",4.96,2010
Malta,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.88,2010
Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",15683.33,2008
Mauritania,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Base year: 1998 Primary domestic currency: Mauritanian ouguiyas Data last updated: 03/2012,339.83,2009
Mauritania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.45,2009
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",933.42,2009
Mauritius,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010. 2010Q3 for quarterly data Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in the treatment of FISIM by CSO and BOM. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1999 Primary domestic currency: Mauritian rupees Data last updated: 03/2012",150.50,2010
Mauritius,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.51,2010
Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5373.64,2010
Mexico,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Mexican pesos Data last updated: 03/2012,8530.03,2010
Mexico,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.15,2010
Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9033.47,2010
Moldova,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Moldovan lei Data last updated: 03/2012,8.43,2011
Moldova,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.79,2011
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",954.03,2011
Mongolia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 Notes: Data prior to 1991 cannot be confirmed by national sources. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Mongolian togrogs Data last updated: 03/2012,3301.64,2010
Mongolia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.56,2010
Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1326.75,2009
Montenegro,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Base year: 2004 Chain-weighted: No Primary domestic currency: euro Data last updated: 03/2012,2.15,2009
Montenegro,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.60,2009
Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4322.67,2009
Morocco,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1998 Chain-weighted: No Primary domestic currency: Moroccan dirhams Data last updated: 03/2012,539.37,2011
Morocco,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.76,2011
Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2151.72,2010
Mozambique,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office. Instituto Nacional de Estadistica (INE). Latest actual data: 2011 Notes: Data prior to 1992 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Mozambican meticais Data last updated: 03/2012,108.91,2011
Mozambique,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.68,2011
Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",361.80,2010
Myanmar,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of National Planning and Economic Development Latest actual data: 2010 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: April/March Base year: 2000. Base year is FY 2000/01. Chain-weighted: No Primary domestic currency: Myanmar kyats Data last updated: 02/2012,5286.56,2010
Myanmar,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.08,2010
Myanmar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",256.66,2006
Namibia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Namibia dollars Data last updated: 03/2012,36.94,2009
Namibia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.07,2009
Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4005.14,2008
Nepal,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010. Latest data availalbe for fiscal year 2009/10. National accounts manual used: SNA 1993 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: August/July. Fiscal year starts on July 16th. Base year: 2000/01. Data prior to 2000/01 were estimated by IMF staff by using data splicing Chain-weighted: No Primary domestic currency: Nepalese rupees Data last updated: 03/2012,514.49,2010
Nepal,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.37,2010
Nepal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",333.57,2005
Netherlands,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1980 Primary domestic currency: Euros Data last updated: 03/2012",530.83,2011
Netherlands,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.39,2011
Netherlands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",41497.70,2010
New Zealand,"Gross domestic product, constant prices",National currency,Billions,"Source: New Zealand Time Series Latest actual data: 2011 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 1996. 1995/1996 Chain-weighted: Yes, from 1987. From 1987. Primary domestic currency: New Zealand dollars Data last updated: 04/2012",132.19,2011
New Zealand,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.00,2011
New Zealand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",25731.96,2011
Nicaragua,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Latest actual data: 2010. 2011 Q1 GDP is available Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: SNA 1993. In 2003 Nicaragua officially changed the base year of the national accounts from 1980 to 1994 and adopted the United Nations System of National Accounts (SNA93) for the calculation of GDP. Methodology described in: http://www.bcn.gob.ni/publicaciones/eventuales/pib_trimestral/PIB_Trimestral.pdf GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1994 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan córdobas Data last updated: 03/2012",32.94,2010
Nicaragua,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.15,2010
Nicaragua,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",947.08,2007
Niger,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs. Data last updated: 03/2012,1644.25,2010
Niger,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.81,2010
Niger,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",281.87,2005
Nigeria,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Nigerian naira Data last updated: 03/2012,8444.85,2011
Nigeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.21,2011
Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1038.76,2006
Norway,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Base year: 2007 Chain-weighted: Yes, from 1980 Primary domestic currency: Norwegian kroner Data last updated: 03/2012",2333.40,2011
Norway,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.44,2011
Norway,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",72782.96,2011
Oman,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Economy Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Rials Omani Data last updated: 03/2012,9.30,2009
Oman,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.91,2009
Oman,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13784.25,2008
Pakistan,"Gross domestic product, constant prices",National currency,Billions,"Source: Ministry of Finance Latest actual data: 2011 National accounts manual used: Combination of SNA 1968 and SNA 1993 GDP valuation: Factor costs. Please note the real GDP series is based on factor cost terms whereas the nominal GDP series is provided using market prices. As a result, the GDP deflator is not calculated correctly. Start/end months of reporting year: July/June Base year: 1999/2000. GDP deflator = 2000 Chain-weighted: No Primary domestic currency: Pakistan rupees Data last updated: 03/2012",4860.48,2011
Pakistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.82,2011
Pakistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",820.55,2011
Panama,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996. Work I nprogress to update the base year to 2007 Chain-weighted: No Primary domestic currency: U.S. dollars Data last updated: 03/2012,15.24,2011
Panama,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.53,2011
Panama,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5218.40,2010
Papua New Guinea,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office and MOF Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1998 Chain-weighted: No Primary domestic currency: Papua New Guinea kina Data last updated: 03/2012,8.82,2011
Papua New Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.29,2011
Papua New Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",934.22,2011
Paraguay,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2010 Notes: For 1980 to 1990, GDP data were constructed backward by the Banco Central del Paraguay using the new 1994 base year. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1994 Chain-weighted: No Primary domestic currency: Paraguayan guaraníes Data last updated: 03/2012",16346.33,2010
Paraguay,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.34,2010
Paraguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1577.93,2008
Peru,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1994 Chain-weighted: No Primary domestic currency: Peruvian nuevos soles Data last updated: 03/2012,160.15,2011
Peru,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.74,2011
Peru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3339.49,2009
Philippines,"Gross domestic product, constant prices",National currency,Billions,Source: CEIC Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Philippine pesos Data last updated: 03/2012,4716.23,2011
Philippines,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.24,2011
Philippines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1405.21,2010
Poland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1995 Primary domestic currency: Polish zlotys Data last updated: 03/2012",1044.54,2011
Poland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.23,2011
Poland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8962.90,2011
Portugal,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 GDP valuation: Market prices Base year: 2006 Chain-weighted: Yes, from 1980 Primary domestic currency: Euros Data last updated: 03/2012",160.86,2010
Portugal,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.45,2010
Portugal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",19109.33,2010
Qatar,"Gross domestic product, constant prices",National currency,Billions,Source: IMF Staff. Qatar Statistics Authority Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Qatar riyals Data last updated: 03/2012,156.66,2011
Qatar,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",26.17,2011
Qatar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",58382.72,2011
Romania,"Gross domestic product, constant prices",National currency,Billions,"Source: Source: Eurostat. Minor differences between National Statistical Office and Eurostat. Eurostat data is fully additive. Source provides previous year volume indices. Staff calculate real GDP based on chain-linked GDP deflators. Latest actual data: 2010. Preliminary. National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Chain-weighted: Yes, from 2000 Primary domestic currency: Romanian lei Data last updated: 03/2012",115.36,2010
Romania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.88,2010
Romania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5686.89,2010
Russia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: Gross capital formation includes statistical discrepancy. GDP valuation: Market prices Base year: Reference year for the chain-linking is 2003. The data are derived by re-referencing the chained level series to 2009. Chain-weighted: Yes, from 1995 Primary domestic currency: Russian rubles Data last updated: 03/2012",36134.60,2011
Russia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.15,2011
Russia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6961.55,2011
Rwanda,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Rwanda francs Data last updated: 02/2012,1716.27,2010
Rwanda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.23,2010
Rwanda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",337.91,2010
Samoa,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance Latest actual data: 2009 Notes: Data prior to 2000 cannot be confirmed by national sources at this time. GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Chain-weighted: No Primary domestic currency: Samoa tala Data last updated: 03/2012,1.04,2009
Samoa,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.05,2009
Samoa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2535.64,2008
São Tomé and Príncipe,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office. Instituto Nacional de Estatistica de Sao Tome & Principe. Latest actual data: 2010 Notes: There is a break in the series for 2001 onwards due to revision in GDP data. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: São Tomé and Príncipe dobras Data last updated: 04/2012,822.82,2010
São Tomé and Príncipe,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.64,2010
São Tomé and Príncipe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",872.31,2008
Saudi Arabia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Central Department of Statistics (CDS), Ministry of Economy and Planning. Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No Primary domestic currency: Saudi Arabian riyals Data last updated: 03/2012",786.35,2011
Saudi Arabia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.16,2011
Saudi Arabia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14784.45,2010
Senegal,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,4286.21,2011
Senegal,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.44,2011
Senegal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",784.62,2009
Serbia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office. Serbian Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993. ESA-95 is also used. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Serbian dinars Data last updated: 02/2012,1191.81,2010
Serbia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.60,2010
Serbia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3957.56,2002
Seychelles,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Seychelles rupees Data last updated: 04/2012,5.73,2009
Seychelles,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.35,2009
